Node, AppTx, AppRx, DeviceTx, DeviceRx, PacketsDroppedRerr, PacketsDroppedNoRoute
0,2950,0,46085,9514,895,3
1,2950,0,28184,8474,870,6
2,2950,0,32255,8554,1296,0
3,2950,0,30390,10759,412,13
4,2950,0,44455,8987,699,9
5,2950,0,32499,10320,1155,3
6,0,0,46692,6260,0,9
7,0,0,28769,6785,0,78
8,0,0,45482,7410,0,1
9,0,0,47447,7588,0,10
10,0,0,37386,6728,0,0
11,0,0,27769,6055,0,29
12,0,0,32587,6619,0,7
13,0,0,36155,6792,0,0
14,0,0,30383,6010,0,1
15,0,0,23834,6426,0,51
16,0,0,34595,6023,0,0
17,0,0,50166,6440,0,8
18,0,0,35691,8720,0,15
19,0,0,28913,5241,0,21
20,0,0,31789,7205,0,12
21,0,0,23390,3963,0,2
22,0,0,34063,6519,0,0
23,0,0,26817,5131,0,3
24,0,0,43592,8348,0,0
25,0,0,42922,7101,0,0
26,0,0,47106,8512,0,0
27,0,0,38785,5648,0,2
28,0,0,41255,7498,0,4
29,0,1,37756,6676,0,0
30,0,0,26948,4856,0,0
31,0,0,51925,6637,0,0
32,0,0,33380,4473,0,0
33,0,0,35561,7642,0,18
34,0,0,30567,7373,0,19
35,0,0,26364,4566,0,32
36,0,0,39713,6341,0,14
37,0,0,58038,7074,0,0
38,0,0,26675,6541,0,20
39,0,0,30035,7042,0,0
40,0,0,32726,5028,0,7
41,0,0,35024,8662,0,5
42,0,0,45312,7948,0,0
43,0,0,31893,4952,0,9
44,0,0,26547,4118,0,11
45,0,0,31681,6421,0,0
46,0,0,33696,8318,0,1
47,0,0,55231,7348,0,0
48,0,0,50873,7174,0,0
49,0,0,45422,7118,0,16
50,0,0,47115,7522,0,1
51,0,0,31625,5803,0,0
52,0,0,41513,9406,0,5
53,0,0,21911,4255,0,0
54,0,0,32463,7901,0,38
55,0,0,30931,6290,0,0
56,0,0,29744,5470,0,45
57,0,0,47213,7559,0,0
58,0,0,50452,7664,0,0
59,0,0,22148,4249,0,0
60,0,0,29385,5983,0,1
61,0,0,22376,3854,0,0
62,0,0,31330,6401,0,12
63,0,2,46612,7234,0,5
64,0,0,55907,7319,0,0
65,0,0,57046,6997,0,0
66,0,0,43191,6660,0,0
67,0,0,31281,7921,0,57
68,0,0,41006,9016,0,10
69,0,0,20578,4928,0,27
70,0,0,23553,3650,0,0
71,0,0,45621,7976,0,5
72,0,0,38893,9214,0,3
73,0,0,45465,7090,0,0
74,0,0,41424,6500,0,13
75,0,0,20457,3634,0,3
76,0,0,47490,7533,0,0
77,0,0,24676,3651,0,0
78,0,0,46997,7296,0,30
79,0,0,32835,7489,0,20
80,0,0,58415,7326,0,0
81,0,0,36318,7126,0,1
82,0,0,20110,4847,0,8
