Node, AppTx, AppRx, DeviceTx, DeviceRx, PacketsDroppedRerr, PacketsDroppedNoRoute
0,2950,0,6035,3366,0,0
1,2950,0,5753,3588,0,0
2,2950,0,5281,4098,0,0
3,2950,0,6525,3676,0,0
4,2950,0,5027,3388,0,0
5,2950,0,6262,3468,0,0
6,0,0,7908,461,0,0
7,0,0,7925,671,0,0
8,0,0,6282,480,0,0
9,0,0,7655,872,0,0
10,0,0,7032,605,0,0
11,0,0,6682,358,0,0
12,0,0,5456,318,0,0
13,0,0,7305,426,0,0
14,0,0,6364,419,0,0
15,0,0,5227,584,0,0
16,0,0,7204,783,0,0
17,0,0,6812,399,0,0
18,0,0,7212,690,0,0
19,0,0,6097,443,0,0
20,0,0,6445,853,0,0
21,0,0,4199,294,0,0
22,0,0,6417,467,0,0
23,0,0,11619,479,0,0
24,0,0,7268,605,0,0
25,0,0,7699,407,0,0
26,0,0,6725,319,0,0
27,0,0,4703,228,0,0
28,0,0,7568,989,0,0
29,0,0,12050,496,0,0
30,0,0,6559,416,0,0
31,0,0,10554,453,0,0
32,0,0,6742,536,0,0
33,0,0,6376,701,0,0
34,0,0,6065,534,0,0
35,0,0,10209,435,0,0
36,0,0,6964,488,0,0
37,0,0,11620,479,0,0
38,0,0,5708,1085,0,0
39,0,0,8028,547,0,0
40,0,0,6584,523,0,0
41,0,40,6578,437,0,0
42,0,0,11368,457,0,0
43,0,0,11885,440,0,0
44,0,0,7872,474,0,0
45,0,0,6374,502,0,0
46,0,0,8102,450,0,0
47,0,0,6439,390,0,0
48,0,0,7829,474,0,0
49,0,0,5534,212,0,0
50,0,0,10483,492,0,0
51,0,0,5183,212,0,0
52,0,0,6366,448,0,0
53,0,0,6917,394,0,0
54,0,0,6236,370,0,0
55,0,0,11866,519,0,0
56,0,0,6631,564,0,0
57,0,0,6469,1079,0,0
58,0,0,7802,411,0,0
59,0,0,6437,819,0,0
60,0,0,10675,361,0,0
61,0,0,10111,450,0,0
62,0,0,8360,494,0,0
63,0,0,6705,423,0,0
64,0,0,12412,473,0,0
65,0,0,6686,505,0,0
66,0,0,7564,378,0,0
67,0,0,9249,326,0,0
68,0,0,7079,741,0,0
69,0,0,6606,535,0,0
70,0,0,8595,523,0,0
71,0,0,7226,607,0,0
72,0,0,7566,615,0,0
73,0,0,11372,384,0,0
74,0,0,6687,582,0,0
75,0,0,8877,502,0,0
76,0,0,7636,366,0,0
77,0,0,8632,506,0,0
78,0,0,6449,811,0,0
79,0,0,9437,525,0,0
80,0,0,11656,503,0,0
81,0,0,8087,808,0,0
82,0,0,7932,516,0,0
83,0,0,3152,184,0,0
84,0,0,6798,424,0,0
85,0,0,7064,308,0,0
86,0,0,9264,439,0,0
87,0,0,10921,487,0,0
88,0,0,7264,939,0,0
89,0,0,9990,529,0,0
90,0,0,7007,368,0,0
91,0,0,4339,314,0,0
92,0,0,12215,433,0,0
93,0,81,8271,358,0,0
94,0,0,7654,449,0,0
95,0,0,12155,495,0,0
96,0,0,6147,536,0,0
97,0,0,6487,439,0,0
98,0,0,5561,484,0,0
99,0,0,6137,1174,0,0
100,0,0,6411,461,0,0
101,0,0,6931,488,0,0
102,0,0,7576,324,0,0
103,0,0,11865,478,0,0
104,0,0,9751,571,0,0
105,0,0,10665,672,0,0
106,0,0,7937,504,0,0
107,0,0,9537,448,0,0
108,0,0,8096,642,0,0
109,0,0,6025,294,0,0
110,0,0,7533,619,0,0
111,0,0,9239,540,0,0
112,0,0,6978,329,0,0
113,0,0,8049,600,0,0
114,0,0,5569,231,0,0
115,0,0,11227,367,0,0
116,0,0,5555,458,0,0
117,0,0,6816,296,0,0
118,0,0,8725,667,0,0
119,0,0,7436,545,0,0
120,0,0,7742,299,0,0
121,0,0,9076,783,0,0
122,0,0,11501,544,0,0
123,0,0,8591,665,0,0
124,0,0,9909,505,0,0
125,0,0,7448,521,0,0
126,0,0,6705,345,0,0
127,0,293,8487,834,0,0
128,0,0,7547,398,0,0
129,0,0,9468,348,0,0
130,0,0,8525,525,0,0
131,0,0,8663,433,0,0
132,0,0,8361,424,0,0
133,0,0,8470,649,0,0
134,0,0,6741,646,0,0
135,0,0,6002,355,0,0
