Metric,Value
macTxDrop,0
macRxDrop,3166883
dropUnsupportedSettings,0
dropChannelSwitching,0
dropRxing,245750
dropTxing,96704
dropSleeping,0
dropPoweredOff,0
dropTruncatedTx,0
dropBusyDecodingPreamble,48860
dropPreambleDetectFailure,2758902
dropReceptionAbortedByTx,51
dropLSigFailure,646
dropHtSigFailure,0
dropSigAFailure,0
dropSigBFailure,0
dropUSigFailure,0
dropEhtSigFailure,0
dropPreambleDetectionPacketSwitch,15464
dropFrameCapturePacketSwitch,0
dropObssPdCcaReset,0
dropPpduTooLate,0
dropFiltered,0
dropDmgHeaderFailure,0
dropDmgAllocationEnded,0
dropUnknown,506
