Node, AppTx, AppRx, DeviceTx, DeviceRx, PacketsDroppedRerr, PacketsDroppedNoRoute
0,2950,0,1671,4007,0,0
1,2950,0,2920,4864,0,0
2,2950,0,1457,3156,0,0
3,2950,0,1613,3395,0,0
4,2950,0,587,3150,0,0
5,2950,0,1424,3313,0,0
6,0,0,1506,374,0,0
7,0,0,2048,1079,0,0
8,0,0,1516,553,0,0
9,0,144,1500,456,0,0
10,0,0,52,160,0,0
11,0,0,367,220,0,0
12,0,0,457,199,0,0
13,0,0,1381,354,0,0
14,0,0,1976,1527,0,0
15,0,0,565,254,0,0
16,0,0,452,240,0,0
17,0,132,1712,395,0,0
18,0,0,1264,814,0,0
19,0,0,1910,721,0,0
20,0,0,314,192,0,0
21,0,0,1339,449,0,0
22,0,0,1334,256,0,0
23,0,633,1264,264,0,0
24,0,0,1404,625,0,0
25,0,0,1518,450,0,0
26,0,0,1573,351,0,0
27,0,0,1856,768,0,0
28,0,0,2539,1893,0,0
29,0,0,1994,1594,0,0
30,0,0,1452,340,0,0
31,0,0,2100,1367,0,0
32,0,0,502,171,0,0
33,0,0,482,165,0,0
34,0,0,727,334,0,0
35,0,0,646,188,0,0
36,0,0,1675,479,0,0
37,0,1762,3024,601,0,0
38,0,0,2040,1213,0,0
39,0,0,1475,413,0,0
40,0,0,1351,234,0,0
41,0,0,957,263,0,0
42,0,0,1906,707,0,0
43,0,0,888,223,0,0
44,0,0,909,597,0,0
45,0,0,158,166,0,0
46,0,33,700,183,0,0
47,0,0,353,190,0,0
48,0,0,1555,890,0,0
49,0,272,1624,228,0,0
