Node, AppTx, AppRx, DeviceTx, DeviceRx, PacketsDroppedRerr, PacketsDroppedNoRoute
0,2950,0,4914,3428,0,0
1,2950,0,6755,3302,0,0
2,2950,0,5553,3141,0,0
3,2950,0,6574,3239,0,0
4,2950,0,2180,3288,0,0
5,2950,0,7121,3645,0,0
6,0,0,6405,404,0,0
7,0,0,7272,848,0,0
8,0,0,5511,718,0,0
9,0,0,4010,590,0,0
10,0,0,5476,642,0,0
11,0,0,7077,634,0,0
12,0,0,3681,855,0,0
13,0,0,5708,1321,0,0
14,0,0,5704,566,0,0
15,0,0,4038,230,0,0
16,0,0,4540,162,0,0
17,0,0,5763,271,0,0
18,0,0,8071,559,0,0
19,0,0,3995,1083,0,0
20,0,0,2984,241,0,0
21,0,0,3806,379,0,0
22,0,669,8382,441,0,0
23,0,0,5206,531,0,0
24,0,0,5258,188,0,0
25,0,0,4188,807,0,0
26,0,0,6597,332,0,0
27,0,0,6438,794,0,0
28,0,0,6165,321,0,0
29,0,0,1627,203,0,0
30,0,0,5508,176,0,0
31,0,0,5170,219,0,0
32,0,0,6103,912,0,0
33,0,0,5424,333,0,0
34,0,0,6233,459,0,0
35,0,0,3900,897,0,0
36,0,0,5332,640,0,0
37,0,0,4989,405,0,0
38,0,0,6478,434,0,0
39,0,0,6742,403,0,0
40,0,0,6089,233,0,0
41,0,0,2745,321,0,0
42,0,0,7303,335,0,0
43,0,0,5570,256,0,0
44,0,0,4991,537,0,0
45,0,0,5517,283,0,0
46,0,0,6474,486,0,0
47,0,0,6083,242,0,0
48,0,895,7859,332,0,0
49,0,0,7260,374,0,0
50,0,0,5842,289,0,0
51,0,0,6452,238,0,0
52,0,0,6542,603,0,0
53,0,0,7016,320,0,0
54,0,0,7291,507,0,0
55,0,0,7740,791,0,0
56,0,0,5862,441,0,0
57,0,0,5062,632,0,0
58,0,0,7274,447,0,0
59,0,0,7123,498,0,0
60,0,0,4357,221,0,0
61,0,0,7370,441,0,0
62,0,0,6087,415,0,0
63,0,0,6281,684,0,0
64,0,915,7790,627,0,0
65,0,0,7932,538,0,0
66,0,0,4692,783,0,0
67,0,0,6088,259,0,0
68,0,0,7014,348,0,0
69,0,0,4075,194,0,0
70,0,0,6545,291,0,0
71,0,0,6635,440,0,0
72,0,0,3945,999,0,0
73,0,0,7198,479,0,0
74,0,0,6521,846,0,0
75,0,0,5482,545,0,0
76,0,0,5238,393,0,0
77,0,0,7632,413,0,0
78,0,0,6654,243,0,0
79,0,0,4586,304,0,0
80,0,0,6591,318,0,0
81,0,0,7843,439,0,0
82,0,0,6854,286,0,0
83,0,0,5733,448,0,0
84,0,0,7134,1048,0,0
85,0,0,6465,428,0,0
86,0,0,5819,290,0,0
87,0,0,5918,298,0,0
88,0,0,4834,618,0,0
89,0,0,5793,449,0,0
90,0,0,4774,291,0,0
91,0,0,2104,328,0,0
92,0,0,5332,269,0,0
93,0,0,4532,236,0,0
94,0,0,5922,446,0,0
95,0,0,4414,162,0,0
96,0,0,5681,262,0,0
97,0,0,5226,837,0,0
98,0,0,6890,784,0,0
99,0,0,6153,249,0,0
100,0,0,7534,520,0,0
101,0,0,3605,409,0,0
102,0,0,2967,652,0,0
103,0,0,6122,330,0,0
104,0,0,5579,734,0,0
105,0,0,5787,204,0,0
106,0,0,6190,469,0,0
107,0,0,7012,616,0,0
108,0,0,6306,327,0,0
109,0,1595,7338,402,0,0
110,0,0,7871,462,0,0
111,0,0,6614,544,0,0
112,0,0,4499,924,0,0
113,0,0,6043,363,0,0
114,0,0,7552,505,0,0
115,0,0,6078,336,0,0
116,0,0,6763,579,0,0
117,0,0,3896,949,0,0
118,0,0,7813,467,0,0
119,0,0,7747,926,0,0
120,0,0,4873,742,0,0
121,0,0,4741,166,0,0
122,0,0,3735,331,0,0
123,0,0,5877,418,0,0
124,0,0,7830,543,0,0
125,0,0,7789,518,0,0
126,0,0,5518,258,0,0
127,0,0,5712,1076,0,0
128,0,0,6443,259,0,0
129,0,0,7244,433,0,0
130,0,0,5935,230,0,0
131,0,0,6082,355,0,0
132,0,0,7191,325,0,0
133,0,0,6792,578,0,0
134,0,0,5726,187,0,0
135,0,0,6819,288,0,0
136,0,0,5568,205,0,0
137,0,0,5804,265,0,0
138,0,0,6218,523,0,0
139,0,0,5597,206,0,0
140,0,896,6477,281,0,0
141,0,0,7130,546,0,0
142,0,0,6217,217,0,0
143,0,0,6353,361,0,0
144,0,0,7948,550,0,0
145,0,0,4990,160,0,0
146,0,0,5161,283,0,0
147,0,0,5212,658,0,0
148,0,0,4971,391,0,0
149,0,708,7285,276,0,0
