Metric,Value
macTxDrop,0
macRxDrop,24348555
dropUnsupportedSettings,0
dropChannelSwitching,0
dropRxing,3830672
dropTxing,152594
dropSleeping,0
dropPoweredOff,0
dropTruncatedTx,0
dropBusyDecodingPreamble,433594
dropPreambleDetectFailure,19856498
dropReceptionAbortedByTx,13
dropLSigFailure,1064
dropHtSigFailure,0
dropSigAFailure,0
dropSigBFailure,0
dropUSigFailure,0
dropEhtSigFailure,0
dropPreambleDetectionPacketSwitch,73713
dropFrameCapturePacketSwitch,0
dropObssPdCcaReset,0
dropPpduTooLate,0
dropFiltered,0
dropDmgHeaderFailure,0
dropDmgAllocationEnded,0
dropUnknown,407
