Metric,Value
macTxDrop,0
macRxDrop,8981116
dropUnsupportedSettings,0
dropChannelSwitching,0
dropRxing,364355
dropTxing,87358
dropSleeping,0
dropPoweredOff,0
dropTruncatedTx,0
dropBusyDecodingPreamble,166470
dropPreambleDetectFailure,8333994
dropReceptionAbortedByTx,35
dropLSigFailure,299
dropHtSigFailure,0
dropSigAFailure,0
dropSigBFailure,0
dropUSigFailure,0
dropEhtSigFailure,0
dropPreambleDetectionPacketSwitch,27624
dropFrameCapturePacketSwitch,0
dropObssPdCcaReset,0
dropPpduTooLate,0
dropFiltered,0
dropDmgHeaderFailure,0
dropDmgAllocationEnded,0
dropUnknown,981
