Node, AppTx, AppRx, DeviceTx, DeviceRx, PacketsDroppedRerr, PacketsDroppedNoRoute
0,2950,0,1608,3292,0,0
1,2950,0,2446,3337,0,0
2,2950,0,3491,4139,0,0
3,2950,0,4552,3171,0,0
4,2950,0,1954,3543,0,0
5,2950,0,3151,4170,0,0
6,0,0,2521,424,0,0
7,0,412,2749,329,0,0
8,0,0,3433,988,0,0
9,0,0,3099,984,0,0
10,0,0,829,211,0,0
11,0,0,3943,739,0,0
12,0,0,4843,456,0,0
13,0,0,3056,478,0,0
14,0,0,2540,559,0,0
15,0,0,6421,605,0,0
16,0,0,2695,538,0,0
17,0,0,2784,831,0,0
18,0,0,4606,520,0,0
19,0,0,3351,1330,0,0
20,0,0,2966,1022,0,0
21,0,0,2762,449,0,0
22,0,0,3643,649,0,0
23,0,0,3966,814,0,0
24,0,0,5830,305,0,0
25,0,0,5433,679,0,0
26,0,0,4874,298,0,0
27,0,0,1945,381,0,0
28,0,0,3194,737,0,0
29,0,0,3103,426,0,0
30,0,0,3271,486,0,0
31,0,74,5659,275,0,0
32,0,0,5944,324,0,0
33,0,0,3113,522,0,0
34,0,0,2900,428,0,0
35,0,0,3083,737,0,0
36,0,0,5938,345,0,0
37,0,0,2542,690,0,0
38,0,0,2586,482,0,0
39,0,0,5781,353,0,0
40,0,0,2970,581,0,0
41,0,0,1402,245,0,0
42,0,0,2417,251,0,0
43,0,0,1994,313,0,0
44,0,0,1820,400,0,0
45,0,0,2616,589,0,0
46,0,0,2867,419,0,0
47,0,0,6040,369,0,0
48,0,0,2557,805,0,0
49,0,0,1516,300,0,0
50,0,0,3743,1206,0,0
51,0,0,3663,569,0,0
52,0,0,1537,391,0,0
53,0,0,2544,294,0,0
54,0,0,3087,601,0,0
55,0,0,4219,1048,0,0
56,0,0,3164,589,0,0
57,0,0,2295,260,0,0
58,0,0,6514,345,0,0
59,0,0,3174,437,0,0
60,0,0,1229,230,0,0
61,0,0,2936,475,0,0
62,0,0,2963,335,0,0
63,0,0,2424,431,0,0
64,0,0,3384,651,0,0
65,0,0,3697,947,0,0
66,0,0,3132,504,0,0
67,0,174,7063,509,0,0
68,0,0,1769,455,0,0
69,0,0,3856,672,0,0
70,0,0,3798,1392,0,0
71,0,0,1937,377,0,0
72,0,0,5932,203,0,0
73,0,0,5277,237,0,0
74,0,0,3012,690,0,0
75,0,0,2226,342,0,0
76,0,0,2370,898,0,0
77,0,0,1440,341,0,0
78,0,0,4015,615,0,0
79,0,0,5038,179,0,0
80,0,0,5654,246,0,0
81,0,0,3991,946,0,0
82,0,0,3492,1014,0,0
83,0,0,2271,384,0,0
84,0,122,6417,275,0,0
85,0,0,5147,1384,0,0
86,0,0,5688,974,0,0
87,0,0,3135,1218,0,0
88,0,0,2755,467,0,0
89,0,0,4923,774,0,0
90,0,0,1969,607,0,0
91,0,0,6274,922,0,0
92,0,0,3326,1503,0,0
93,0,0,2998,580,0,0
94,0,0,3993,1409,0,0
95,0,0,2907,701,0,0
96,0,0,3086,456,0,0
97,0,0,1948,363,0,0
98,0,0,5814,295,0,0
99,0,0,4898,327,0,0
100,0,0,2106,301,0,0
101,0,0,5526,300,0,0
102,0,0,2177,433,0,0
103,0,0,6969,573,0,0
104,0,0,2548,595,0,0
105,0,0,6111,249,0,0
106,0,0,6380,231,0,0
107,0,0,3340,878,0,0
108,0,0,1657,253,0,0
109,0,0,3046,368,0,0
110,0,0,1972,671,0,0
111,0,0,6018,542,0,0
112,0,0,4026,1125,0,0
113,0,0,2923,622,0,0
114,0,0,2505,913,0,0
115,0,0,6659,343,0,0
116,0,0,6732,359,0,0
117,0,0,6218,419,0,0
118,0,0,5149,397,0,0
119,0,0,3107,1014,0,0
120,0,0,4695,244,0,0
121,0,0,3865,946,0,0
122,0,0,3081,908,0,0
123,0,0,3923,869,0,0
124,0,0,3623,1247,0,0
125,0,0,2726,588,0,0
126,0,0,3361,516,0,0
127,0,0,6444,410,0,0
128,0,0,2673,446,0,0
129,0,0,3503,809,0,0
130,0,0,3320,622,0,0
131,0,0,3504,929,0,0
132,0,0,3687,563,0,0
133,0,0,3712,784,0,0
134,0,0,3670,1410,0,0
135,0,0,5131,344,0,0
136,0,0,5176,309,0,0
137,0,0,3463,597,0,0
138,0,0,4369,2002,0,0
139,0,0,3154,434,0,0
140,0,295,2881,689,0,0
141,0,0,6444,406,0,0
142,0,661,4155,772,0,0
143,0,0,2177,372,0,0
144,0,0,2933,444,0,0
145,0,0,3119,665,0,0
146,0,0,6062,415,0,0
147,0,0,1747,257,0,0
148,0,0,6949,393,0,0
149,0,0,5052,442,0,0
