Metric,Value
macTxDrop,0
macRxDrop,330026
dropUnsupportedSettings,0
dropChannelSwitching,0
dropRxing,1718
dropTxing,729
dropSleeping,0
dropPoweredOff,0
dropTruncatedTx,0
dropBusyDecodingPreamble,561
dropPreambleDetectFailure,326802
dropReceptionAbortedByTx,0
dropLSigFailure,1
dropHtSigFailure,0
dropSigAFailure,0
dropSigBFailure,0
dropUSigFailure,0
dropEhtSigFailure,0
dropPreambleDetectionPacketSwitch,212
dropFrameCapturePacketSwitch,0
dropObssPdCcaReset,0
dropPpduTooLate,0
dropFiltered,0
dropDmgHeaderFailure,0
dropDmgAllocationEnded,0
dropUnknown,3
