Node, AppTx, AppRx, DeviceTx, DeviceRx, PacketsDroppedRerr, PacketsDroppedNoRoute
0,2950,0,13009,8603,198,72
1,2950,0,5954,4642,104,2
2,2950,0,7671,5023,503,0
3,2950,0,10290,5525,615,6
4,2950,0,12034,8134,305,45
5,2950,0,10770,6446,0,5
6,0,763,14784,4217,0,26
7,0,0,3083,1086,0,0
8,0,0,14731,3119,0,1
9,0,0,1103,631,0,0
10,0,0,1710,617,0,0
11,0,0,6687,3085,0,13
12,0,0,3714,1505,0,2
13,0,0,11142,5098,0,17
14,0,0,13521,5360,0,41
15,0,0,13144,5173,0,32
16,0,0,5463,2096,0,20
17,0,0,16861,5730,0,30
18,0,0,13426,7332,0,102
19,0,0,10606,1648,0,0
20,0,0,15297,2499,0,0
21,0,2065,18608,5866,0,24
22,0,0,14105,2434,0,1
23,0,0,3233,1397,0,3
24,0,0,3236,1107,0,0
25,0,0,5343,2289,0,1
26,0,0,10447,3658,0,50
27,0,0,17724,4810,0,6
28,0,0,8768,4273,0,7
29,0,0,11332,3072,0,5
30,0,0,16972,5371,0,57
31,0,0,3980,1822,0,6
32,0,0,18281,4828,0,2
33,0,0,3617,935,0,0
34,0,0,6059,2547,0,7
35,0,0,13356,3654,0,4
36,0,0,15743,5836,0,21
37,0,0,4957,1830,0,2
38,0,0,7130,3721,0,20
39,0,0,12038,5784,0,30
40,0,0,11149,2099,0,0
41,0,0,15799,3890,0,22
42,0,0,3476,1609,0,2
43,0,0,5056,1897,0,3
44,0,0,9374,1493,0,0
45,0,2170,11532,4240,0,54
46,0,0,9819,1995,0,2
47,0,0,16757,4392,0,48
48,0,0,4366,2171,0,8
49,0,0,9161,2967,0,19
50,0,0,16300,2988,0,6
51,0,0,13142,2006,0,1
52,0,0,3656,1147,0,0
53,0,0,13684,5829,0,12
54,0,0,3161,1035,0,0
55,0,0,13625,6177,0,34
56,0,2240,5477,676,0,0
57,0,0,16448,2435,0,0
58,0,0,4468,1841,0,0
59,0,0,14270,2780,0,3
60,0,0,9479,1312,0,0
61,0,0,6801,2773,0,15
62,0,0,13554,1777,0,0
63,0,0,7500,1602,0,1
64,0,0,16457,3508,0,9
65,0,0,12829,1972,0,0
66,0,0,2709,1233,0,4
67,0,0,13158,2160,0,0
68,0,0,10362,1506,0,0
69,0,0,15106,2372,0,1
70,0,0,17047,3841,0,10
71,0,0,6114,3066,0,3
72,0,0,10332,2555,0,5
73,0,0,7543,2947,0,6
74,0,0,15617,2274,0,1
75,0,0,15235,3187,0,5
76,0,0,6542,2597,0,3
77,0,0,6114,2925,0,5
78,0,0,15948,5442,0,18
79,0,0,15506,5099,0,18
80,0,0,10741,5539,0,154
81,0,0,13287,2293,0,1
82,0,0,12826,1751,0,1
83,0,0,17734,3208,0,0
84,0,0,13431,3827,0,13
85,0,0,8808,3558,0,11
86,0,0,12204,4815,0,11
87,0,0,10928,5195,0,20
88,0,0,12837,1768,0,0
89,0,0,4743,2007,0,2
90,0,0,10677,4397,0,27
91,0,0,14062,5096,0,32
92,0,0,16425,4498,0,30
93,0,1000,6732,1149,0,6
94,0,1409,12481,2746,0,9
95,0,0,9114,1948,0,3
96,0,0,17390,3560,0,4
97,0,0,4772,1507,0,0
98,0,0,8983,4062,0,19
99,0,0,11776,4243,0,15
