Metric,Value
macTxDrop,0
macRxDrop,8158625
dropUnsupportedSettings,0
dropChannelSwitching,0
dropRxing,913225
dropTxing,232134
dropSleeping,0
dropPoweredOff,0
dropTruncatedTx,0
dropBusyDecodingPreamble,153464
dropPreambleDetectFailure,6833888
dropReceptionAbortedByTx,18
dropLSigFailure,411
dropHtSigFailure,0
dropSigAFailure,0
dropSigBFailure,0
dropUSigFailure,0
dropEhtSigFailure,0
dropPreambleDetectionPacketSwitch,24552
dropFrameCapturePacketSwitch,0
dropObssPdCcaReset,0
dropPpduTooLate,0
dropFiltered,0
dropDmgHeaderFailure,0
dropDmgAllocationEnded,0
dropUnknown,933
