OriginIP,DestIP,DestSeqNo,RREQId,SourceIP,DestinationIP,hopCount,TimeRREQ,TimeRREP,routeFound
10.1.1.1,10.1.1.112,0,1,10.1.1.1,10.1.1.112,7,5,293.797,1
10.1.1.2,10.1.1.18,0,1,10.1.1.2,10.1.1.18,5,5.002,288.048,1
10.1.1.3,10.1.1.143,0,1,10.1.1.3,10.1.1.143,5,5.002,299.96,1
10.1.1.5,10.1.1.62,0,1,10.1.1.5,10.1.1.62,5,5.003,291.823,1
10.1.1.4,10.1.1.169,0,1,10.1.1.4,10.1.1.169,12,5.004,298.148,1
10.1.1.6,10.1.1.28,0,1,10.1.1.6,10.1.1.28,8,5.01,295.676,1
10.1.1.2,10.1.1.18,0,2,10.1.1.2,10.1.1.18,0,5.241,-1,0
10.1.1.5,10.1.1.62,0,2,10.1.1.5,10.1.1.62,0,5.245,-1,0
10.1.1.4,10.1.1.169,0,2,10.1.1.4,10.1.1.169,0,5.247,-1,0
10.1.1.6,10.1.1.28,0,2,10.1.1.6,10.1.1.28,0,5.247,-1,0
10.1.1.1,10.1.1.112,0,2,10.1.1.1,10.1.1.112,0,5.25,-1,0
10.1.1.3,10.1.1.143,0,2,10.1.1.3,10.1.1.143,0,5.25,-1,0
10.1.1.2,10.1.1.18,0,3,10.1.1.2,10.1.1.18,0,5.501,-1,0
10.1.1.3,10.1.1.143,0,3,10.1.1.3,10.1.1.143,0,5.64,-1,0
10.1.1.5,10.1.1.62,0,3,10.1.1.5,10.1.1.62,0,5.641,-1,0
10.1.1.6,10.1.1.28,0,3,10.1.1.6,10.1.1.28,0,5.641,-1,0
10.1.1.4,10.1.1.169,0,3,10.1.1.4,10.1.1.169,0,5.649,-1,0
10.1.1.1,10.1.1.112,0,3,10.1.1.1,10.1.1.112,0,5.65,-1,0
10.1.1.169,10.1.1.50,0,1,10.1.1.169,10.1.1.50,2,5.6985,232.042,1
10.1.1.1,10.1.1.112,0,4,10.1.1.1,10.1.1.112,0,6.2,-1,0
10.1.1.4,10.1.1.169,1,4,10.1.1.4,10.1.1.169,0,6.203,-1,0
10.1.1.6,10.1.1.28,0,4,10.1.1.6,10.1.1.28,0,6.204,-1,0
10.1.1.3,10.1.1.143,0,4,10.1.1.3,10.1.1.143,0,6.205,-1,0
10.1.1.5,10.1.1.62,0,4,10.1.1.5,10.1.1.62,0,6.21,-1,0
10.1.1.129,10.1.1.112,0,1,10.1.1.129,10.1.1.112,4,6.25336,150.61,1
10.1.1.19,10.1.1.157,0,1,10.1.1.19,10.1.1.157,3,6.2551,264.28,1
10.1.1.2,10.1.1.18,0,4,10.1.1.2,10.1.1.18,0,6.304,-1,0
10.1.1.26,10.1.1.41,0,1,10.1.1.26,10.1.1.41,4,6.31334,280.92,1
10.1.1.129,10.1.1.75,0,2,10.1.1.129,10.1.1.75,0,6.32661,6.37086,1
10.1.1.84,10.1.1.41,0,1,10.1.1.84,10.1.1.41,1,6.42204,89.0127,1
10.1.1.68,10.1.1.21,0,1,10.1.1.68,10.1.1.21,4,6.56415,305.782,1
10.1.1.4,10.1.1.169,1,5,10.1.1.4,10.1.1.169,0,6.605,-1,0
10.1.1.2,10.1.1.18,0,5,10.1.1.2,10.1.1.18,0,6.906,-1,0
10.1.1.5,10.1.1.62,0,5,10.1.1.5,10.1.1.62,0,6.922,-1,0
10.1.1.6,10.1.1.28,0,5,10.1.1.6,10.1.1.28,0,6.923,-1,0
10.1.1.1,10.1.1.112,0,5,10.1.1.1,10.1.1.112,0,6.925,-1,0
10.1.1.3,10.1.1.143,0,5,10.1.1.3,10.1.1.143,0,6.927,-1,0
10.1.1.11,10.1.1.123,0,1,10.1.1.11,10.1.1.123,2,6.99075,8.34582,1
10.1.1.165,10.1.1.66,0,1,10.1.1.165,10.1.1.66,5,7.04119,20.2,1
10.1.1.95,10.1.1.161,0,1,10.1.1.95,10.1.1.161,2,7.05103,262.784,1
10.1.1.83,10.1.1.5,0,1,10.1.1.83,10.1.1.5,2,7.1528,281.336,1
10.1.1.1,10.1.1.112,0,6,10.1.1.1,10.1.1.112,0,7.202,-1,0
10.1.1.41,10.1.1.112,0,1,10.1.1.41,10.1.1.112,3,7.22072,150.389,1
10.1.1.41,10.1.1.75,0,2,10.1.1.41,10.1.1.75,4,7.24254,185.199,1
10.1.1.165,10.1.1.192,0,2,10.1.1.165,10.1.1.192,3,7.25685,181.078,1
10.1.1.84,10.1.1.123,0,2,10.1.1.84,10.1.1.123,5,7.25754,8.37729,1
10.1.1.195,10.1.1.19,0,1,10.1.1.195,10.1.1.19,4,7.27395,168.714,1
10.1.1.92,10.1.1.143,0,1,10.1.1.92,10.1.1.143,2,7.27833,309.465,1
10.1.1.123,10.1.1.145,0,1,10.1.1.123,10.1.1.145,7,7.2836,41.7077,1
10.1.1.93,10.1.1.157,0,1,10.1.1.93,10.1.1.157,2,7.2849,9.45511,1
10.1.1.92,10.1.1.178,0,2,10.1.1.92,10.1.1.178,3,7.30307,163.502,1
10.1.1.92,10.1.1.189,0,3,10.1.1.92,10.1.1.189,2,7.30557,227.176,1
10.1.1.115,10.1.1.112,0,1,10.1.1.115,10.1.1.112,6,7.32749,171.55,1
10.1.1.52,10.1.1.66,0,1,10.1.1.52,10.1.1.66,3,7.34497,11.7551,1
10.1.1.52,10.1.1.102,0,2,10.1.1.52,10.1.1.102,3,7.34821,22.0289,1
10.1.1.52,10.1.1.143,0,3,10.1.1.52,10.1.1.143,2,7.37718,9.04016,1
