Metric,Value
macTxDrop,0
macRxDrop,1912116
dropUnsupportedSettings,0
dropChannelSwitching,0
dropRxing,564668
dropTxing,39650
dropSleeping,0
dropPoweredOff,0
dropTruncatedTx,0
dropBusyDecodingPreamble,224133
dropPreambleDetectFailure,1078001
dropReceptionAbortedByTx,6
dropLSigFailure,1043
dropHtSigFailure,0
dropSigAFailure,0
dropSigBFailure,0
dropUSigFailure,0
dropEhtSigFailure,0
dropPreambleDetectionPacketSwitch,4266
dropFrameCapturePacketSwitch,0
dropObssPdCcaReset,0
dropPpduTooLate,0
dropFiltered,0
dropDmgHeaderFailure,0
dropDmgAllocationEnded,0
dropUnknown,349
