Metric,Value
macTxDrop,0
macRxDrop,9375179
dropUnsupportedSettings,0
dropChannelSwitching,0
dropRxing,1332245
dropTxing,180817
dropSleeping,0
dropPoweredOff,0
dropTruncatedTx,0
dropBusyDecodingPreamble,195531
dropPreambleDetectFailure,7629082
dropReceptionAbortedByTx,5
dropLSigFailure,1362
dropHtSigFailure,0
dropSigAFailure,0
dropSigBFailure,0
dropUSigFailure,0
dropEhtSigFailure,0
dropPreambleDetectionPacketSwitch,35810
dropFrameCapturePacketSwitch,0
dropObssPdCcaReset,0
dropPpduTooLate,0
dropFiltered,0
dropDmgHeaderFailure,0
dropDmgAllocationEnded,0
dropUnknown,327
