Node, AppTx, AppRx, DeviceTx, DeviceRx, PacketsDroppedRerr, PacketsDroppedNoRoute
0,2950,0,9873,6687,1439,144
1,2950,0,10022,5784,184,26
2,2950,0,6711,5683,513,162
3,2950,0,8229,5497,1311,14
4,2950,0,8596,5812,1289,23
5,2950,0,9054,7546,117,39
6,0,0,1342,416,0,0
7,0,0,1665,481,0,0
8,0,0,3952,1987,0,12
9,0,0,5024,2214,0,18
10,0,835,6865,1611,0,0
11,0,0,1910,859,0,2
12,0,0,1852,423,0,0
13,0,0,2192,448,0,0
14,0,0,6913,3697,0,238
15,0,1633,5648,2059,0,8
16,0,0,2633,597,0,1
17,0,0,8642,3254,0,74
18,0,0,5476,1221,0,2
19,0,0,4127,1508,0,6
20,0,0,1853,508,0,0
21,0,0,6095,2569,0,130
22,0,0,5773,1352,0,1
23,0,0,1550,439,0,0
24,0,0,2063,414,0,0
25,0,0,1936,437,0,0
26,0,0,2154,840,0,14
27,0,0,2078,445,0,0
28,0,0,2996,664,0,0
29,0,0,3556,566,0,0
30,0,0,5429,949,0,0
31,0,440,6306,1845,0,6
32,0,0,3040,856,0,0
33,0,0,2930,649,0,0
34,0,0,4805,2266,0,25
35,0,0,6371,1595,0,9
36,0,0,5650,2539,0,28
37,0,0,3019,681,0,0
38,0,0,6053,2187,0,0
39,0,0,4899,947,0,1
40,0,0,5405,2488,0,66
41,0,0,2896,584,0,0
42,0,0,4541,760,0,0
43,0,0,6667,2243,0,20
44,0,0,4271,556,0,0
45,0,0,2847,694,0,0
46,0,0,1270,556,0,0
47,0,0,559,480,0,0
48,0,0,3392,1772,0,18
49,0,0,3582,571,0,0
50,0,0,4756,1056,0,0
51,0,0,3648,501,0,0
52,0,0,2451,487,0,0
53,0,0,6957,2697,0,90
54,0,0,1894,499,0,0
55,0,0,6608,1673,0,6
56,0,621,3849,495,0,0
57,0,0,3703,607,0,0
58,0,0,5483,1267,0,0
59,0,0,8669,3336,0,93
60,0,0,6813,2101,0,7
61,0,0,1021,398,0,0
62,0,0,2705,531,0,0
63,0,0,2791,860,0,3
64,0,0,6699,1965,0,1
65,0,0,1764,436,0,0
66,0,0,3292,638,0,0
67,0,0,1824,480,0,1
68,0,0,6398,1563,0,0
69,0,0,3021,1090,0,5
70,0,0,4518,1883,0,1
71,0,750,5186,1867,0,26
72,0,0,4600,2670,0,9
73,0,0,3372,772,0,0
74,0,0,4507,2414,0,24
75,0,0,4469,709,0,0
76,0,0,2563,605,0,0
77,0,0,343,364,0,0
78,0,0,7136,3154,0,32
79,0,0,3044,593,0,0
80,0,0,2615,464,0,0
81,0,0,8311,3235,0,183
82,0,0,4833,2570,0,190
83,0,0,3383,521,0,0
84,0,333,6509,810,0,0
85,0,0,8084,2799,0,80
86,0,0,9038,3120,0,69
87,0,0,4010,1654,0,9
88,0,0,4023,2204,0,24
89,0,0,3698,1573,0,4
90,0,0,3456,531,0,0
91,0,0,2275,445,0,0
92,0,0,8679,2944,0,61
93,0,0,4069,613,0,0
94,0,0,7657,2529,0,36
95,0,0,4196,717,0,0
96,0,0,2590,493,0,0
97,0,0,4217,674,0,0
98,0,0,5619,2711,0,70
99,0,0,2962,730,0,6
