OriginIP,DestIP,DestSeqNo,RREQId,SourceIP,DestinationIP,hopCount,TimeRREQ,TimeRREP,routeFound
10.1.0.1,10.1.1.22,0,1,10.1.0.1,10.1.1.22,3,5.001,294.598,1
10.1.0.3,10.1.1.100,0,1,10.1.0.3,10.1.1.100,4,5.004,248.656,1
10.1.0.4,10.1.1.165,0,1,10.1.0.4,10.1.1.165,10,5.004,270.179,1
10.1.0.6,10.1.0.65,0,1,10.1.0.6,10.1.0.65,9,5.004,301.729,1
10.1.0.5,10.1.0.149,0,1,10.1.0.5,10.1.0.149,10,5.006,299.165,1
10.1.0.2,10.1.0.40,0,1,10.1.0.2,10.1.0.40,10,5.01,301.717,1
10.1.0.4,10.1.1.165,0,2,10.1.0.4,10.1.1.165,0,5.24,-1,0
10.1.0.2,10.1.0.40,0,2,10.1.0.2,10.1.0.40,0,5.241,-1,0
10.1.0.5,10.1.0.149,0,2,10.1.0.5,10.1.0.149,0,5.242,-1,0
10.1.0.1,10.1.1.22,0,2,10.1.0.1,10.1.1.22,0,5.244,-1,0
10.1.0.6,10.1.0.65,0,2,10.1.0.6,10.1.0.65,0,5.245,-1,0
10.1.0.3,10.1.1.100,0,2,10.1.0.3,10.1.1.100,0,5.249,-1,0
10.1.0.166,10.1.1.184,0,1,10.1.0.166,10.1.1.184,1,5.31742,8.9049,1
10.1.0.2,10.1.0.40,0,3,10.1.0.2,10.1.0.40,0,5.641,-1,0
10.1.0.5,10.1.0.149,0,3,10.1.0.5,10.1.0.149,0,5.644,-1,0
10.1.0.4,10.1.1.165,0,3,10.1.0.4,10.1.1.165,0,5.647,-1,0
10.1.0.1,10.1.1.22,0,3,10.1.0.1,10.1.1.22,0,5.65,-1,0
10.1.0.3,10.1.1.100,0,3,10.1.0.3,10.1.1.100,0,5.65,-1,0
10.1.0.6,10.1.0.65,0,3,10.1.0.6,10.1.0.65,0,5.65,-1,0
10.1.0.1,10.1.1.22,0,4,10.1.0.1,10.1.1.22,0,6.202,-1,0
10.1.0.2,10.1.0.40,0,4,10.1.0.2,10.1.0.40,0,6.203,-1,0
10.1.0.4,10.1.1.165,0,4,10.1.0.4,10.1.1.165,0,6.203,-1,0
10.1.0.3,10.1.1.100,0,4,10.1.0.3,10.1.1.100,0,6.205,-1,0
10.1.0.6,10.1.0.65,0,4,10.1.0.6,10.1.0.65,0,6.209,-1,0
10.1.1.1,10.1.1.60,0,1,10.1.1.1,10.1.1.60,2,6.30697,9.68523,1
10.1.1.140,10.1.1.1,0,1,10.1.1.140,10.1.1.1,0,6.31541,6.37922,1
10.1.0.157,10.1.0.236,0,1,10.1.0.157,10.1.0.236,1,6.43418,9.69331,1
10.1.1.84,10.1.1.37,0,1,10.1.1.84,10.1.1.37,3,6.44005,11.9321,1
10.1.1.132,10.1.1.166,0,1,10.1.1.132,10.1.1.166,4,6.52681,45.195,1
10.1.1.132,10.1.0.249,0,2,10.1.1.132,10.1.0.249,1,6.56971,7.61173,1
10.1.0.5,10.1.0.149,0,4,10.1.0.5,10.1.0.149,0,6.601,-1,0
10.1.1.203,10.1.0.52,0,1,10.1.1.203,10.1.0.52,1,6.61492,9.41226,1
10.1.0.232,10.1.1.209,0,1,10.1.0.232,10.1.1.209,5,6.65047,223.55,1
10.1.1.171,10.1.1.37,0,1,10.1.1.171,10.1.1.37,1,6.66527,9.61446,1
10.1.0.5,10.1.0.149,0,5,10.1.0.5,10.1.0.149,0,6.803,-1,0
10.1.0.5,10.1.0.149,0,6,10.1.0.5,10.1.0.149,0,6.905,-1,0
10.1.0.1,10.1.1.22,0,5,10.1.0.1,10.1.1.22,0,6.924,-1,0
10.1.0.6,10.1.0.65,0,5,10.1.0.6,10.1.0.65,0,6.926,-1,0
10.1.0.4,10.1.1.165,0,5,10.1.0.4,10.1.1.165,0,6.928,-1,0
10.1.0.2,10.1.0.40,0,5,10.1.0.2,10.1.0.40,0,6.929,-1,0
10.1.0.17,10.1.1.209,0,1,10.1.0.17,10.1.1.209,1,6.9674,247.811,1
10.1.1.100,10.1.1.160,0,1,10.1.1.100,10.1.1.160,1,7.08584,7.16912,1
10.1.0.251,10.1.0.8,0,1,10.1.0.251,10.1.0.8,0,7.08657,7.11078,1
10.1.1.187,10.1.1.111,0,1,10.1.1.187,10.1.1.111,4,7.09973,48.1982,1
10.1.0.3,10.1.1.100,1,5,10.1.0.3,10.1.1.100,0,7.106,-1,0
10.1.1.199,10.1.0.85,0,1,10.1.1.199,10.1.0.85,2,7.23313,8.73556,1
10.1.1.199,10.1.1.208,0,2,10.1.1.199,10.1.1.208,2,7.24287,8.73918,1
10.1.1.241,10.1.0.61,0,1,10.1.1.241,10.1.0.61,4,7.35313,306.104,1
10.1.1.199,10.1.0.47,0,3,10.1.1.199,10.1.0.47,1,7.35514,7.37118,1
10.1.1.1,10.1.1.111,0,2,10.1.1.1,10.1.1.111,0,7.37453,-1,0
10.1.1.241,10.1.0.98,0,2,10.1.1.241,10.1.0.98,1,7.39454,7.8063,1
10.1.0.5,10.1.0.149,0,7,10.1.0.5,10.1.0.149,0,7.402,-1,0
10.1.1.241,10.1.1.162,0,3,10.1.1.241,10.1.1.162,1,7.42638,8.33322,1
10.1.1.160,10.1.0.68,0,1,10.1.1.160,10.1.0.68,2,7.47718,241.096,1
10.1.0.157,10.1.1.152,0,2,10.1.0.157,10.1.1.152,2,7.49236,32.3091,1
10.1.0.4,10.1.1.165,0,6,10.1.0.4,10.1.1.165,0,7.502,-1,0
10.1.1.22,10.1.0.12,0,1,10.1.1.22,10.1.0.12,2,7.52229,31.5273,1
10.1.1.163,10.1.0.173,0,1,10.1.1.163,10.1.0.173,1,7.52562,9.53441,1
10.1.0.35,10.1.0.212,0,1,10.1.0.35,10.1.0.212,1,7.56234,10.6438,1
10.1.0.212,10.1.1.141,0,1,10.1.0.212,10.1.1.141,2,7.56824,7.93901,1
10.1.0.213,10.1.1.46,0,1,10.1.0.213,10.1.1.46,1,7.58695,8.13496,1
10.1.1.132,10.1.0.141,0,3,10.1.1.132,10.1.0.141,1,7.59895,7.74182,1
10.1.1.187,10.1.0.98,0,2,10.1.1.187,10.1.0.98,0,7.61268,49.0333,1
10.1.1.132,10.1.0.201,0,4,10.1.1.132,10.1.0.201,1,7.61673,8.65067,1
10.1.1.199,10.1.0.85,0,4,10.1.1.199,10.1.0.85,0,7.63213,-1,0
10.1.0.27,10.1.1.162,0,1,10.1.0.27,10.1.1.162,1,7.65601,7.90949,1
10.1.1.209,10.1.1.142,0,2,10.1.1.209,10.1.1.142,1,7.67583,7.88773,1
10.1.1.209,10.1.0.222,0,1,10.1.1.209,10.1.0.222,1,7.68158,8.54018,1
10.1.0.212,10.1.1.142,0,2,10.1.0.212,10.1.1.142,1,7.68192,127.254,1
10.1.0.212,10.1.0.222,0,3,10.1.0.212,10.1.0.222,1,7.68217,16.2609,1
10.1.0.75,10.1.1.46,0,1,10.1.0.75,10.1.1.46,4,7.74271,218.15,1
10.1.1.37,10.1.1.166,0,1,10.1.1.37,10.1.1.166,1,7.76239,7.97555,1
10.1.0.157,10.1.0.186,0,3,10.1.0.157,10.1.0.186,3,7.76941,35.158,1
10.1.1.152,10.1.1.162,0,1,10.1.1.152,10.1.1.162,1,7.85205,8.51841,1
10.1.1.152,10.1.1.1,0,2,10.1.1.152,10.1.1.1,3,7.85605,8.96687,1
10.1.0.222,10.1.0.149,0,1,10.1.0.222,10.1.0.149,6,7.94023,189.066,1
10.1.1.37,10.1.0.52,0,2,10.1.1.37,10.1.0.52,5,7.98155,60.2225,1
