Metric,Value
macTxDrop,0
macRxDrop,8947995
dropUnsupportedSettings,0
dropChannelSwitching,0
dropRxing,1637932
dropTxing,207014
dropSleeping,0
dropPoweredOff,0
dropTruncatedTx,0
dropBusyDecodingPreamble,654758
dropPreambleDetectFailure,6379896
dropReceptionAbortedByTx,124
dropLSigFailure,4223
dropHtSigFailure,0
dropSigAFailure,0
dropSigBFailure,0
dropUSigFailure,0
dropEhtSigFailure,0
dropPreambleDetectionPacketSwitch,60890
dropFrameCapturePacketSwitch,0
dropObssPdCcaReset,0
dropPpduTooLate,0
dropFiltered,0
dropDmgHeaderFailure,0
dropDmgAllocationEnded,0
dropUnknown,3158
