OriginIP,DestIP,DestSeqNo,RREQId,SourceIP,DestinationIP,hopCount,TimeRREQ,TimeRREP,routeFound
10.1.0.1,10.1.1.22,0,1,10.1.0.1,10.1.1.22,3,5.001,294.208,1
10.1.0.3,10.1.1.100,0,1,10.1.0.3,10.1.1.100,2,5.004,285.723,1
10.1.0.4,10.1.1.165,0,1,10.1.0.4,10.1.1.165,10,5.004,260.939,1
10.1.0.6,10.1.0.65,0,1,10.1.0.6,10.1.0.65,11,5.004,221.563,1
10.1.0.5,10.1.0.149,0,1,10.1.0.5,10.1.0.149,10,5.006,283.17,1
10.1.0.2,10.1.0.40,0,1,10.1.0.2,10.1.0.40,5,5.01,286.735,1
10.1.0.1,10.1.0.169,0,2,10.1.0.1,10.1.0.169,1,5.0208,228.679,1
10.1.0.35,10.1.1.20,0,1,10.1.0.35,10.1.1.20,1,5.1299,6.56231,1
10.1.0.1,10.1.1.22,0,3,10.1.0.1,10.1.1.22,0,5.205,-1,0
10.1.0.133,10.1.0.169,0,1,10.1.0.133,10.1.0.169,2,5.23879,9.57011,1
10.1.0.4,10.1.1.165,0,2,10.1.0.4,10.1.1.165,0,5.24,-1,0
10.1.0.6,10.1.0.65,0,2,10.1.0.6,10.1.0.65,0,5.24,-1,0
10.1.0.2,10.1.0.40,0,2,10.1.0.2,10.1.0.40,0,5.241,-1,0
10.1.0.3,10.1.1.100,0,2,10.1.0.3,10.1.1.100,0,5.242,-1,0
10.1.0.5,10.1.0.149,0,2,10.1.0.5,10.1.0.149,0,5.242,-1,0
10.1.0.126,10.1.0.25,0,1,10.1.0.126,10.1.0.25,1,5.31979,7.21937,1
10.1.1.24,10.1.0.186,0,1,10.1.1.24,10.1.0.186,1,5.33781,7.88213,1
10.1.0.212,10.1.1.163,0,1,10.1.0.212,10.1.1.163,4,5.35182,47.7379,1
10.1.0.212,10.1.1.20,0,2,10.1.0.212,10.1.1.20,1,5.45167,7.80788,1
10.1.0.6,10.1.0.65,0,3,10.1.0.6,10.1.0.65,0,5.641,-1,0
10.1.0.2,10.1.0.40,0,3,10.1.0.2,10.1.0.40,0,5.643,-1,0
10.1.0.5,10.1.0.149,0,3,10.1.0.5,10.1.0.149,0,5.646,-1,0
10.1.0.4,10.1.1.165,0,3,10.1.0.4,10.1.1.165,0,5.647,-1,0
10.1.0.5,10.1.0.149,0,4,10.1.0.5,10.1.0.149,0,5.901,-1,0
10.1.0.242,10.1.1.63,0,1,10.1.0.242,10.1.1.63,3,5.90995,6.74892,1
10.1.0.35,10.1.0.241,0,2,10.1.0.35,10.1.0.241,1,5.97592,6.56332,1
10.1.1.78,10.1.0.41,0,1,10.1.1.78,10.1.0.41,1,6.04088,7.9859,1
10.1.1.163,10.1.0.233,0,1,10.1.1.163,10.1.0.233,6,6.19875,35.6752,1
10.1.0.2,10.1.0.40,0,4,10.1.0.2,10.1.0.40,0,6.2,-1,0
10.1.0.4,10.1.1.165,0,4,10.1.0.4,10.1.1.165,0,6.202,-1,0
10.1.0.3,10.1.1.100,0,3,10.1.0.3,10.1.1.100,0,6.205,-1,0
10.1.0.6,10.1.0.65,0,4,10.1.0.6,10.1.0.65,0,6.208,-1,0
10.1.1.40,10.1.1.218,0,1,10.1.1.40,10.1.1.218,1,6.2654,7.42381,1
10.1.0.225,10.1.0.88,0,1,10.1.0.225,10.1.0.88,2,6.28309,6.5626,1
10.1.0.225,10.1.0.50,0,2,10.1.0.225,10.1.0.50,2,6.28742,8.37161,1
10.1.0.242,10.1.1.63,0,2,10.1.0.242,10.1.1.63,0,6.30595,-1,0
10.1.1.163,10.1.1.131,0,2,10.1.1.163,10.1.1.131,1,6.30911,9.04568,1
10.1.1.151,10.1.0.72,0,1,10.1.1.151,10.1.0.72,1,6.38968,8.49272,1
10.1.0.240,10.1.1.161,0,1,10.1.0.240,10.1.1.161,4,6.42267,163.417,1
10.1.1.24,10.1.1.55,0,2,10.1.1.24,10.1.1.55,1,6.43232,7.89864,1
10.1.1.24,10.1.0.85,0,3,10.1.1.24,10.1.0.85,2,6.44519,7.93533,1
10.1.0.35,10.1.0.7,0,3,10.1.0.35,10.1.0.7,4,6.55329,280.225,1
10.1.1.163,10.1.0.233,0,3,10.1.1.163,10.1.0.233,0,6.59175,-1,0
10.1.1.56,10.1.0.114,0,1,10.1.1.56,10.1.0.114,2,6.61948,130.998,1
