Metric,Value
macTxDrop,0
macRxDrop,7010637
dropUnsupportedSettings,0
dropChannelSwitching,0
dropRxing,1488046
dropTxing,64122
dropSleeping,0
dropPoweredOff,0
dropTruncatedTx,0
dropBusyDecodingPreamble,749113
dropPreambleDetectFailure,4683986
dropReceptionAbortedByTx,2
dropLSigFailure,608
dropHtSigFailure,0
dropSigAFailure,0
dropSigBFailure,0
dropUSigFailure,0
dropEhtSigFailure,0
dropPreambleDetectionPacketSwitch,24147
dropFrameCapturePacketSwitch,0
dropObssPdCcaReset,0
dropPpduTooLate,0
dropFiltered,0
dropDmgHeaderFailure,0
dropDmgAllocationEnded,0
dropUnknown,613
