Node, AppTx, AppRx, DeviceTx, DeviceRx, PacketsDroppedRerr, PacketsDroppedNoRoute
0,2950,0,44656,8636,0,0
1,2950,0,53650,8636,0,0
2,2950,0,40899,8428,0,0
3,2950,0,35365,8329,0,0
4,2950,0,35958,8410,0,0
5,2950,0,53904,9298,0,0
6,0,0,34539,5150,0,0
7,0,0,33909,5219,0,0
8,0,0,36727,5566,0,0
9,0,0,41963,5548,0,0
10,0,1434,62151,5483,0,0
11,0,0,28787,5318,0,0
12,0,0,48361,5180,0,0
13,0,0,56606,5092,0,0
14,0,0,44594,6503,0,0
15,0,2289,44807,5995,0,0
16,0,0,53544,5147,0,0
17,0,0,53234,5604,0,0
18,0,0,74680,5304,0,0
19,0,0,31460,5308,0,0
20,0,0,41577,5155,0,0
21,0,0,43548,5616,0,0
22,0,0,76821,5306,0,0
23,0,0,39533,5153,0,0
24,0,0,49406,5190,0,0
25,0,0,48687,5196,0,0
26,0,0,40968,5428,0,0
27,0,0,47542,5000,0,0
28,0,0,51568,5168,0,0
29,0,0,61341,5312,0,0
30,0,0,71892,5295,0,0
31,0,487,52826,5773,0,0
32,0,0,53159,5197,0,0
33,0,0,53654,5265,0,0
34,0,0,46494,5989,0,0
35,0,0,60743,5416,0,0
36,0,0,50705,5802,0,0
37,0,0,64906,5092,0,0
38,0,0,57158,5681,0,0
39,0,0,67185,5325,0,0
40,0,0,41703,5594,0,0
41,0,0,57217,5213,0,0
42,0,0,73776,5224,0,0
43,0,0,48414,5631,0,0
44,0,0,70193,5281,0,0
45,0,0,52071,5132,0,0
46,0,0,27761,5251,0,0
47,0,0,17512,5214,0,0
48,0,0,41763,5828,0,0
49,0,0,58227,5245,0,0
50,0,0,63399,5365,0,0
51,0,0,59672,5222,0,0
52,0,0,50019,5083,0,0
53,0,0,46293,5586,0,0
54,0,0,39997,5127,0,0
55,0,0,63657,5343,0,0
56,0,1035,55937,5194,0,0
57,0,0,64398,5273,0,0
58,0,0,56837,5301,0,0
59,0,0,53469,6007,0,0
60,0,0,56917,5503,0,0
61,0,0,30502,5015,0,0
62,0,0,59069,5074,0,0
63,0,0,45895,5311,0,0
64,0,0,58476,5468,0,0
65,0,0,39993,5205,0,0
66,0,0,54798,5263,0,0
67,0,0,47536,5192,0,0
68,0,0,66546,5351,0,0
69,0,0,48244,5314,0,0
70,0,0,42763,5512,0,0
71,0,2298,32411,5473,0,0
72,0,0,43067,5868,0,0
73,0,0,56041,5243,0,0
74,0,0,44163,6265,0,0
75,0,0,66840,5270,0,0
76,0,0,49690,5205,0,0
77,0,0,20030,4768,0,0
78,0,0,44966,5896,0,0
79,0,0,65580,5076,0,0
80,0,0,58883,5113,0,0
81,0,0,50241,5726,0,0
82,0,0,34622,5943,0,0
83,0,0,61842,5268,0,0
84,0,470,75791,5306,0,0
85,0,0,51331,5612,0,0
86,0,0,53048,5597,0,0
87,0,0,31597,5095,0,0
88,0,0,41705,6190,0,0
89,0,0,40025,5584,0,0
90,0,0,60293,5174,0,0
91,0,0,53188,5091,0,0
92,0,0,53401,5956,0,0
93,0,0,68294,5249,0,0
94,0,0,49386,5693,0,0
95,0,0,65760,5294,0,0
96,0,0,59965,5148,0,0
97,0,0,59750,5220,0,0
98,0,0,36351,5624,0,0
99,0,0,60168,5015,0,0
