Metric,Value
macTxDrop,0
macRxDrop,5945176
dropUnsupportedSettings,0
dropChannelSwitching,0
dropRxing,1293211
dropTxing,192558
dropSleeping,0
dropPoweredOff,0
dropTruncatedTx,0
dropBusyDecodingPreamble,305421
dropPreambleDetectFailure,4132963
dropReceptionAbortedByTx,4
dropLSigFailure,3383
dropHtSigFailure,0
dropSigAFailure,0
dropSigBFailure,0
dropUSigFailure,0
dropEhtSigFailure,0
dropPreambleDetectionPacketSwitch,16960
dropFrameCapturePacketSwitch,0
dropObssPdCcaReset,0
dropPpduTooLate,0
dropFiltered,0
dropDmgHeaderFailure,0
dropDmgAllocationEnded,0
dropUnknown,676
