Node, AppTx, AppRx, DeviceTx, DeviceRx, PacketsDroppedRerr, PacketsDroppedNoRoute
0,2950,0,73049,10460,0,0
1,2950,0,26969,9639,0,0
2,2950,0,98094,10833,0,0
3,2950,0,47048,10230,0,0
4,2950,0,53517,10519,0,0
5,2950,0,52025,10655,0,0
6,0,0,74628,7603,0,0
7,0,0,66089,8143,0,0
8,0,0,38892,7321,0,0
9,0,0,49433,7493,0,0
10,0,0,41429,7770,0,0
11,0,0,72399,7190,0,0
12,0,0,65011,7177,0,0
13,0,0,73165,7501,0,0
14,0,0,36801,6639,0,0
15,0,0,47025,7590,0,0
16,0,0,44274,7594,0,0
17,0,0,75794,7474,0,0
18,0,0,70254,7321,0,0
19,0,0,40542,7171,0,0
20,0,0,53573,8028,0,0
21,0,0,48983,6769,0,0
22,0,0,58461,7283,0,0
23,0,0,57807,7964,0,0
24,0,0,92702,7941,0,0
25,0,0,80156,8031,0,0
26,0,0,57109,7304,0,0
27,0,0,52176,7724,0,0
28,0,0,40376,6616,0,0
29,0,395,48049,8416,0,0
30,0,0,31177,7299,0,0
31,0,0,41445,7232,0,0
32,0,0,93356,7680,0,0
33,0,0,48074,7740,0,0
34,0,0,47653,7696,0,0
35,0,0,78577,7471,0,0
36,0,0,48162,7495,0,0
37,0,0,46022,6592,0,0
38,0,0,62568,7628,0,0
39,0,0,45549,7731,0,0
40,0,0,68592,7191,0,0
41,0,0,50819,6570,0,0
42,0,0,39409,7294,0,0
43,0,0,66373,7934,0,0
44,0,0,89835,7690,0,0
45,0,0,67554,7443,0,0
46,0,0,83404,8018,0,0
47,0,0,19741,6411,0,0
48,0,0,86025,7783,0,0
49,0,0,55381,7987,0,0
50,0,0,53979,8025,0,0
51,0,0,81968,8037,0,0
52,0,0,73331,7169,0,0
53,0,0,41820,6609,0,0
54,0,0,71606,7485,0,0
55,0,0,92849,7746,0,0
56,0,0,64024,7593,0,0
57,0,0,94608,7798,0,0
58,0,0,45541,6745,0,0
59,0,0,74053,7364,0,0
60,0,0,59190,7969,0,0
61,0,0,97404,7821,0,0
62,0,0,72928,7778,0,0
63,0,0,89351,7672,0,0
64,0,0,51000,7790,0,0
65,0,0,39540,6616,0,0
66,0,0,43444,7280,0,0
67,0,0,56435,7857,0,0
68,0,0,44774,6625,0,0
69,0,0,47857,6725,0,0
70,0,0,93029,8078,0,0
71,0,0,28713,6482,0,0
72,0,0,93683,7581,0,0
73,0,0,61935,7339,0,0
74,0,0,95027,7984,0,0
75,0,0,47887,7718,0,0
76,0,0,69526,7196,0,0
77,0,0,48795,6861,0,0
78,0,0,88487,7976,0,0
79,0,0,73436,7175,0,0
80,0,0,72444,7648,0,0
81,0,0,89338,7793,0,0
82,0,0,41114,6925,0,0
83,0,1026,63107,7898,0,0
84,0,0,93196,7792,0,0
85,0,0,87748,7955,0,0
86,0,0,32697,6989,0,0
87,0,0,47095,7866,0,0
88,0,0,70389,7569,0,0
89,0,0,25041,6764,0,0
90,0,0,31185,6758,0,0
91,0,0,63582,7512,0,0
92,0,0,55315,7679,0,0
93,0,0,71632,7520,0,0
94,0,0,83491,7878,0,0
95,0,0,68542,7355,0,0
96,0,0,65784,8030,0,0
97,0,0,50942,7471,0,0
98,0,0,44748,7065,0,0
99,0,0,44525,7169,0,0
100,0,0,53108,7601,0,0
101,0,0,75905,7529,0,0
102,0,0,73908,7107,0,0
103,0,0,57900,7429,0,1
104,0,0,86362,7844,0,0
105,0,0,44585,7447,0,0
106,0,0,53698,7444,0,0
107,0,0,50183,6569,0,0
108,0,0,73106,7696,0,0
109,0,0,31509,7012,0,0
110,0,0,53470,8053,0,0
111,0,0,77726,7627,0,0
112,0,0,71450,7621,0,0
113,0,0,76765,7474,0,0
114,0,0,39483,6592,0,0
115,0,0,70888,7197,0,0
116,0,0,32766,7086,0,0
117,0,0,83678,7757,0,0
118,0,0,53066,6583,0,0
119,0,0,57632,7700,0,0
120,0,0,70464,7460,0,0
121,0,0,46458,7644,0,0
122,0,0,89879,7977,0,0
123,0,0,59967,7744,0,0
124,0,0,69624,7089,0,0
125,0,0,59404,7242,0,0
126,0,0,82696,7658,0,0
127,0,0,80850,7797,0,0
128,0,209,86042,7881,0,0
129,0,0,68691,7529,0,0
130,0,0,68658,7863,0,0
131,0,0,64373,8132,0,0
132,0,0,71670,7467,0,0
133,0,0,94506,7818,0,0
134,0,0,76505,7173,0,0
135,0,41,59279,7770,0,0
136,0,0,64476,7434,0,0
137,0,0,42953,7158,0,0
138,0,0,71957,7320,0,0
139,0,0,73488,7560,0,0
140,0,0,61004,7957,0,0
141,0,0,72325,8079,0,0
142,0,0,74519,7587,0,0
143,0,0,43638,7074,0,0
144,0,0,84221,8191,0,0
145,0,1023,70309,7375,0,0
146,0,25,72862,7462,0,0
147,0,0,34625,6492,0,0
148,0,0,39260,6920,0,0
149,0,0,55975,7321,0,0
