Node, AppTx, AppRx, DeviceTx, DeviceRx, PacketsDroppedRerr, PacketsDroppedNoRoute
0,2950,0,12535,5626,0,0
1,2950,0,23147,7004,0,0
2,2950,0,34959,8232,0,1
3,2950,0,33429,7192,0,1
4,2950,0,21512,6991,0,0
5,2950,0,7316,5239,0,0
6,0,0,17302,5941,0,5
7,0,0,9974,2976,0,0
8,0,0,6756,2642,0,0
9,0,0,30551,4878,0,0
10,0,0,14328,5257,0,0
11,0,0,12866,4138,0,44
12,0,0,31823,4123,0,1
13,0,0,17123,3824,0,4
14,0,0,10907,6963,0,1
15,0,0,10497,6227,0,2
16,0,0,2026,1100,0,0
17,0,0,11685,3000,0,0
18,0,0,13610,2857,0,0
19,0,0,34402,6924,0,0
20,0,1686,23919,5387,0,0
21,0,0,11616,7834,0,23
22,0,0,21935,6340,0,0
23,0,0,23338,4047,0,0
24,0,0,34702,10221,0,0
25,0,0,28049,6481,0,0
26,0,0,35525,12686,0,0
27,0,0,14660,3714,0,0
28,0,0,4032,1762,0,0
29,0,0,4758,1868,0,0
30,0,0,35251,4037,0,3
31,0,0,36723,5996,0,0
32,0,0,3460,1702,0,0
33,0,0,36928,4070,0,0
34,0,0,25950,5152,0,3
35,0,0,10596,3024,0,0
36,0,0,14189,3206,0,0
37,0,0,13140,4071,0,0
38,0,0,33060,4191,0,0
39,0,0,34291,3893,0,0
40,0,0,27110,4150,0,0
41,0,0,28489,7594,0,0
42,0,0,14391,3484,0,0
43,0,0,19485,7480,0,1
44,0,0,40422,4951,0,0
45,0,0,20524,8702,0,1
46,0,0,30353,5035,0,8
47,0,0,8674,2513,0,0
48,0,0,23440,4080,0,0
49,0,0,24645,9358,0,2
50,0,0,10983,4189,0,0
51,0,0,4101,2240,0,0
52,0,0,33288,5153,0,4
53,0,0,10748,3054,0,0
54,0,0,18292,3709,0,0
55,0,0,33323,5268,0,0
56,0,104,3542,1867,0,0
57,0,0,34843,5370,0,0
58,0,0,16722,5898,0,0
59,0,0,6582,2335,0,0
60,0,0,35985,5037,0,0
61,0,0,11924,4267,0,0
62,0,0,12624,3371,0,0
63,0,0,20955,3753,0,0
64,0,0,29707,3927,0,0
65,0,0,5939,2242,0,1
66,0,0,35014,9328,0,0
67,0,0,15166,6453,0,0
68,0,0,8047,3061,0,0
69,0,0,6948,2576,0,0
70,0,0,26699,4837,0,0
71,0,0,7225,2747,0,1
72,0,0,38075,3970,0,0
73,0,0,6695,2310,0,0
74,0,0,13234,2881,0,46
75,0,0,18370,12589,0,3
76,0,0,31152,3904,0,0
77,0,0,4971,1982,0,0
78,0,0,8490,2067,0,0
79,0,0,12392,4050,0,1
80,0,0,14059,3243,0,0
81,0,0,13440,2745,0,0
82,0,0,14914,6540,0,0
83,0,0,30614,5411,0,4
84,0,0,32763,4194,0,0
85,0,0,13022,4150,0,0
86,0,807,12167,4351,0,1
87,0,0,6807,2807,0,0
88,0,0,12153,3424,0,0
89,0,0,29537,5683,0,41
90,0,629,41173,3911,0,0
91,0,0,11789,3133,0,0
92,0,0,38012,3968,0,0
93,0,0,32445,4213,0,0
94,0,0,9920,4584,0,0
95,0,0,3397,1869,0,0
96,0,29,18506,3888,0,0
97,0,480,8396,4570,0,0
98,0,0,14126,4868,0,20
99,0,0,32176,6052,0,0
