Metric,Value
macTxDrop,0
macRxDrop,11784410
dropUnsupportedSettings,0
dropChannelSwitching,0
dropRxing,1011189
dropTxing,319755
dropSleeping,0
dropPoweredOff,0
dropTruncatedTx,0
dropBusyDecodingPreamble,220926
dropPreambleDetectFailure,10181175
dropReceptionAbortedByTx,21
dropLSigFailure,145
dropHtSigFailure,0
dropSigAFailure,0
dropSigBFailure,0
dropUSigFailure,0
dropEhtSigFailure,0
dropPreambleDetectionPacketSwitch,48780
dropFrameCapturePacketSwitch,0
dropObssPdCcaReset,0
dropPpduTooLate,0
dropFiltered,0
dropDmgHeaderFailure,0
dropDmgAllocationEnded,0
dropUnknown,2419
