OriginIP,DestIP,DestSeqNo,RREQId,SourceIP,DestinationIP,hopCount,TimeRREQ,TimeRREP,routeFound
10.1.1.4,10.1.1.21,0,1,10.1.1.4,10.1.1.21,1,5.001,299.84,1
10.1.1.1,10.1.1.97,0,1,10.1.1.1,10.1.1.97,7,5.003,140.301,1
10.1.1.2,10.1.1.91,0,1,10.1.1.2,10.1.1.91,3,5.004,299.737,1
10.1.1.6,10.1.1.87,0,1,10.1.1.6,10.1.1.87,17,5.004,294.393,1
10.1.1.5,10.1.1.98,0,1,10.1.1.5,10.1.1.98,18,5.007,297.716,1
10.1.1.3,10.1.1.57,0,1,10.1.1.3,10.1.1.57,10,5.008,297.919,1
10.1.1.3,10.1.1.57,0,2,10.1.1.3,10.1.1.57,0,5.241,-1,0
10.1.1.4,10.1.1.21,0,2,10.1.1.4,10.1.1.21,0,5.245,-1,0
10.1.1.5,10.1.1.98,0,2,10.1.1.5,10.1.1.98,0,5.245,-1,0
10.1.1.1,10.1.1.97,0,2,10.1.1.1,10.1.1.97,0,5.246,-1,0
10.1.1.6,10.1.1.87,0,2,10.1.1.6,10.1.1.87,0,5.246,-1,0
10.1.1.2,10.1.1.91,0,2,10.1.1.2,10.1.1.91,0,5.25,-1,0
10.1.1.1,10.1.1.97,0,3,10.1.1.1,10.1.1.97,0,5.643,-1,0
10.1.1.5,10.1.1.98,0,3,10.1.1.5,10.1.1.98,0,5.645,-1,0
10.1.1.3,10.1.1.57,0,3,10.1.1.3,10.1.1.57,0,5.647,-1,0
10.1.1.3,10.1.1.57,0,4,10.1.1.3,10.1.1.57,0,6.201,-1,0
10.1.1.1,10.1.1.97,0,4,10.1.1.1,10.1.1.97,0,6.207,-1,0
10.1.1.3,10.1.1.57,0,5,10.1.1.3,10.1.1.57,0,6.92,-1,0
10.1.1.1,10.1.1.97,0,5,10.1.1.1,10.1.1.97,0,6.922,-1,0
10.1.1.4,10.1.1.21,0,3,10.1.1.4,10.1.1.21,0,7.109,-1,0
10.1.1.3,10.1.1.57,0,6,10.1.1.3,10.1.1.57,0,7.206,-1,0
10.1.1.17,10.1.1.30,0,1,10.1.1.17,10.1.1.30,0,7.26317,7.26421,1
10.1.1.1,10.1.1.97,0,6,10.1.1.1,10.1.1.97,0,8.4,-1,0
10.1.1.6,10.1.1.87,0,3,10.1.1.6,10.1.1.87,0,8.8,-1,0
10.1.1.3,10.1.1.57,0,7,10.1.1.3,10.1.1.57,0,8.805,-1,0
10.1.1.1,10.1.1.97,0,7,10.1.1.1,10.1.1.97,0,8.809,-1,0
10.1.1.71,10.1.1.10,0,2,10.1.1.71,10.1.1.10,2,8.98049,129.239,1
