Node, AppTx, AppRx, DeviceTx, DeviceRx, PacketsDroppedRerr, PacketsDroppedNoRoute
0,2950,0,21157,7029,0,0
1,2950,0,36906,8046,0,0
2,2950,0,49642,8668,0,0
3,2950,0,49912,9256,0,0
4,2950,0,36403,9969,0,0
5,2950,0,11594,6260,0,0
6,0,0,25026,6546,0,0
7,0,0,17617,4152,0,0
8,0,0,13154,4023,0,0
9,0,0,43328,4752,0,0
10,0,0,20086,4249,0,0
11,0,0,28455,12569,0,1
12,0,0,49333,5944,0,0
13,0,0,31908,7969,0,7
14,0,0,13021,5670,0,64
15,0,0,11369,3611,0,1
16,0,0,7265,4291,0,0
17,0,0,20215,5050,0,0
18,0,0,22444,5333,0,0
19,0,0,46201,6112,0,18
20,0,2215,39236,7942,0,11
21,0,0,13766,5000,0,0
22,0,0,36664,7042,0,0
23,0,0,37359,5190,0,0
24,0,0,46181,7725,0,2
25,0,0,40657,6206,0,15
26,0,0,42193,4707,0,0
27,0,0,29500,9608,0,1
28,0,0,11754,5674,0,0
29,0,0,16926,8438,0,6
30,0,0,49740,4555,0,0
31,0,0,48208,4502,0,0
32,0,0,11760,5837,0,0
33,0,0,51176,4762,0,0
34,0,0,41415,5999,0,0
35,0,0,19461,5419,0,0
36,0,0,23131,4264,0,0
37,0,0,25342,7570,0,0
38,0,0,46869,4584,0,0
39,0,0,47322,4588,0,0
40,0,0,42447,6085,0,0
41,0,0,40528,5585,0,0
42,0,0,24148,6179,0,0
43,0,0,32622,13182,0,0
44,0,0,53806,5253,0,0
45,0,0,23716,4838,0,5
46,0,0,44368,5109,0,0
47,0,0,14366,3740,0,0
48,0,0,39398,4727,0,0
49,0,0,33731,7216,0,0
50,0,0,16815,4923,0,0
51,0,0,10293,4091,0,39
52,0,0,46650,5043,0,0
53,0,0,17941,4210,0,0
54,0,0,32016,5494,0,9
55,0,0,45414,4954,0,0
56,0,824,8582,3616,0,0
57,0,0,51689,6711,0,0
58,0,0,25966,9624,0,0
59,0,0,13856,3901,0,0
60,0,0,48366,4540,0,0
61,0,0,21461,7893,0,0
62,0,0,25897,9103,0,1
63,0,0,34198,4643,0,0
64,0,0,45663,4932,0,0
65,0,0,14066,5874,0,0
66,0,0,44203,4544,0,0
67,0,0,25707,10522,0,49
68,0,0,16407,4355,0,0
69,0,0,15884,4815,0,41
70,0,0,45032,9477,0,0
71,0,0,17338,6534,0,12
72,0,0,53007,4707,0,0
73,0,0,13341,3834,0,0
74,0,0,25633,6549,0,20
75,0,0,14807,4890,0,10
76,0,0,43338,4559,0,0
77,0,0,12818,5310,0,1
78,0,0,17467,4214,0,0
79,0,0,21674,4745,0,7
80,0,0,23495,4248,0,0
81,0,0,24492,5409,0,0
82,0,0,20486,4048,0,0
83,0,0,45431,7460,0,0
84,0,0,46568,5346,0,0
85,0,0,23685,6959,0,41
86,0,1310,19912,6880,0,31
87,0,0,15145,5588,0,0
88,0,0,25014,8498,0,0
89,0,0,41371,5518,0,0
90,0,1686,56778,5828,0,0
91,0,0,20602,4183,0,0
92,0,0,50915,4520,0,0
93,0,0,47741,5686,0,2
94,0,0,13335,4915,0,0
95,0,0,9216,4049,0,0
96,0,183,31662,4660,0,0
97,0,1374,14192,4278,0,0
98,0,0,22202,4567,0,6
99,0,0,46403,5259,0,3
