Metric,Value
macTxDrop,0
macRxDrop,390621
dropUnsupportedSettings,0
dropChannelSwitching,0
dropRxing,15402
dropTxing,6680
dropSleeping,0
dropPoweredOff,0
dropTruncatedTx,0
dropBusyDecodingPreamble,2044
dropPreambleDetectFailure,364181
dropReceptionAbortedByTx,4
dropLSigFailure,16
dropHtSigFailure,0
dropSigAFailure,0
dropSigBFailure,0
dropUSigFailure,0
dropEhtSigFailure,0
dropPreambleDetectionPacketSwitch,2273
dropFrameCapturePacketSwitch,0
dropObssPdCcaReset,0
dropPpduTooLate,0
dropFiltered,0
dropDmgHeaderFailure,0
dropDmgAllocationEnded,0
dropUnknown,21
