Node, AppTx, AppRx, DeviceTx, DeviceRx, PacketsDroppedRerr, PacketsDroppedNoRoute
0,2950,0,5449,4950,304,0
1,2950,0,10933,5021,0,6
2,2950,0,9296,5195,501,2
3,2950,0,13509,6926,487,12
4,2950,0,12054,4824,2067,1
5,2950,0,4203,3817,0,0
6,0,1686,12461,3082,0,21
7,0,0,9949,3318,0,41
8,0,0,4087,811,0,0
9,0,0,4252,949,0,0
10,0,0,1698,523,0,0
11,0,0,9097,3354,0,31
12,0,0,7508,2081,0,15
13,0,637,1910,444,0,0
14,0,2375,5632,939,0,0
15,0,0,6119,2000,0,4
16,0,0,5044,2046,0,4
17,0,0,5567,1744,0,7
18,0,0,10047,1782,0,2
19,0,0,10804,3789,0,56
20,0,2178,4772,783,0,1
21,0,0,4153,1286,0,1
22,0,0,4617,1444,0,0
23,0,0,8797,1305,0,0
24,0,0,8998,3859,0,54
25,0,0,8154,2569,0,11
26,0,0,8234,2892,0,23
27,0,0,8504,1406,0,2
28,0,0,6404,2227,0,42
29,0,0,1123,592,0,2
30,0,0,7296,2748,0,6
31,0,0,3006,1594,0,17
32,0,0,9100,2964,0,13
33,0,0,452,447,0,5
34,0,0,9723,2334,0,12
35,0,0,8917,3392,0,10
36,0,0,2957,931,0,0
37,0,0,4905,1419,0,1
38,0,0,9623,1529,0,2
39,0,0,9603,3246,0,22
40,0,0,10115,2262,0,12
41,0,0,4129,930,0,1
42,0,1832,8388,1399,0,2
43,0,0,8013,2809,0,11
44,0,1168,12332,2781,0,12
45,0,0,2573,1502,0,20
46,0,0,10893,2603,0,2
47,0,0,8233,1275,0,0
48,0,0,10320,2187,0,34
49,0,0,8302,1368,0,0
