xmin,xmax,ymin,ymax,zmin,zmax
-735.0,-700.0,-475.0,-440.0,0.0,25.0
-735.0,-700.0,305.0,340.0,0.0,25.0
-670.0,-635.0,-670.0,-635.0,0.0,25.0
-670.0,-635.0,-410.0,-375.0,0.0,25.0
-670.0,-635.0,-345.0,-310.0,0.0,25.0
-670.0,-635.0,-20.0,15.0,0.0,25.0
-670.0,-635.0,630.0,665.0,0.0,25.0
-605.0,-570.0,-540.0,-505.0,0.0,25.0
-605.0,-570.0,-345.0,-310.0,0.0,25.0
-605.0,-570.0,-150.0,-115.0,0.0,25.0
-605.0,-570.0,-20.0,15.0,0.0,25.0
-605.0,-570.0,45.0,80.0,0.0,25.0
-605.0,-570.0,240.0,275.0,0.0,25.0
-605.0,-570.0,370.0,405.0,0.0,25.0
-540.0,-505.0,-670.0,-635.0,0.0,25.0
-540.0,-505.0,-540.0,-505.0,0.0,25.0
-540.0,-505.0,-215.0,-180.0,0.0,25.0
-540.0,-505.0,565.0,600.0,0.0,25.0
-475.0,-440.0,-605.0,-570.0,0.0,25.0
-475.0,-440.0,-540.0,-505.0,0.0,25.0
-475.0,-440.0,-475.0,-440.0,0.0,25.0
-475.0,-440.0,-280.0,-245.0,0.0,25.0
-475.0,-440.0,-85.0,-50.0,0.0,25.0
-475.0,-440.0,-20.0,15.0,0.0,25.0
-475.0,-440.0,175.0,210.0,0.0,25.0
-475.0,-440.0,370.0,405.0,0.0,25.0
-410.0,-375.0,-150.0,-115.0,0.0,25.0
-410.0,-375.0,-85.0,-50.0,0.0,25.0
-410.0,-375.0,-20.0,15.0,0.0,25.0
-410.0,-375.0,45.0,80.0,0.0,25.0
-410.0,-375.0,110.0,145.0,0.0,25.0
-410.0,-375.0,240.0,275.0,0.0,25.0
-410.0,-375.0,565.0,600.0,0.0,25.0
-410.0,-375.0,630.0,665.0,0.0,25.0
-345.0,-310.0,-345.0,-310.0,0.0,25.0
-345.0,-310.0,-280.0,-245.0,0.0,25.0
-345.0,-310.0,-215.0,-180.0,0.0,25.0
-345.0,-310.0,-20.0,15.0,0.0,25.0
-345.0,-310.0,110.0,145.0,0.0,25.0
-345.0,-310.0,175.0,210.0,0.0,25.0
-345.0,-310.0,565.0,600.0,0.0,25.0
-345.0,-310.0,695.0,730.0,0.0,25.0
-280.0,-245.0,-280.0,-245.0,0.0,25.0
