x,y
0,0
100,0
200,0
300,0
400,0
-100,0
-200,0
-300,0
-400,0
0,-200
100,-200
200,-200
300,-200
400,-200
500,-200
-100,-200
-200,-200
-300,-200
-300,-200
-400,-200
-500,-200
0,200
100,200
200,200
300,200
400,200
500,200
-100,200
-200,200
-300,200
-300,200
-400,200
-500,200
0,-400
100,-400
200,-400
300,-400
400,-400
500,-400
-100,-400
-200,-400
-300,-400
-300,-400
-400,-400
-500,-400
0,400
100,400
200,400
300,400
400,400
500,400
-100,400
-200,400
-300,400
-300,400
-400,400
-500,400
0,-100
200,-100
400,-100
500,-100
-200,-100
-400,-100
-500,-100
0,100
200,100
400,100
500,100
-200,100
-400,100
-500,100
0,300
200,300
400,300
-200,300
-400,300
0,-300
200,-300
400,-300
-200,-300
-400,-300
100,-500
200,-500
400,-500
500,-500
-100,-500
-200,-500
-400,-500
-500,-500
100,500
200,500
400,500
500,500
-100,500
-200,500
-400,500
-500,500
100,-600
200,-600
-100,-600
-200,-600
0,600
100,600
-100,600
